Description	Category	CategoryID	GO	LogP	Enrichment	Z.score	X.TotalGeneInLibrary	X.GeneInGO	X.GeneInHitList	X.GeneInGOAndHitList	X.InGO	STDV..InGO	GeneID	Hits	Log.q.value.	GeneList
cell fate commitment	GO Biological Processes	19	GO:0045165	-3.5	2.5	4.2	27994	276	722	18	2.5	0.58	429|2138|2139|2596|2736|4063|5897|6886|6928|7481|9760|23314|51384|54567|55553|81029|151449|170825	ASCL1|EYA1|EYA2|GAP43|GLI2|LY9|RAG2|TAL1|HNF1B|WNT11|TOX|SATB2|WNT16|DLL4|SOX6|WNT5B|GDF7|GSX2	-2.9	16
cell fate commitment	GO Biological Processes	19	GO:0045165	-2.1	2.1	2.9	27994	276	674	14	2.1	0.55	596|2001|2066|2258|2596|2736|3084|4855|4920|6095|6660|23040|50937|347853	BCL2|ELF5|ERBB4|FGF13|GAP43|GLI2|NRG1|NOTCH4|ROR2|RORA|SOX5|MYT1L|CDON|TBX10	-1.9	7
cell fate commitment	GO Biological Processes	19	GO:0045165	-2.9	2.3	3.6	27994	276	753	17	2.3	0.54	2138|2255|2596|3084|3110|3169|4208|4286|6095|6495|6660|7472|7478|9480|9496|10716|64641	EYA1|FGF10|GAP43|NRG1|MNX1|FOXA1|MEF2C|MITF|RORA|SIX1|SOX5|WNT2|WNT8A|ONECUT2|TBX4|TBR1|EBF2	-2.5	18
cell fate commitment	GO Biological Processes	19	GO:0045165	-2.6	2.2	3.4	27994	276	724	16	2.2	0.55	652|2066|2138|2736|3084|3574|4920|5396|5468|6095|6660|7473|7479|7484|11281|54345	BMP4|ERBB4|EYA1|GLI2|NRG1|IL7|ROR2|PRRX1|PPARG|RORA|SOX5|WNT3|WNT8B|WNT9B|POU6F2|SOX18	-2.3	12
cell fate commitment	GO Biological Processes	19	GO:0045165	-2.9	2.3	3.7	27994	276	741	17	2.3	0.55	2253|2258|2627|2736|3084|3516|6095|6862|6928|7473|7475|7484|23040|25925|26038|89780|170302	FGF8|FGF13|GATA6|GLI2|NRG1|RBPJ|RORA|TBXT|HNF1B|WNT3|WNT6|WNT9B|MYT1L|ZNF521|CHD5|WNT3A|ARX	-2.5	17
embryonic morphogenesis	GO Biological Processes	19	GO:0048598	-8.4	2.7	7	27994	602	765	44	5.8	0.84	525|579|668|775|2138|2255|2295|2321|2702|3651|3676|3899|4036|4208|4487|4760|4762|5396|5915|6262|6423|6469|6910|6913|7471|7484|8324|9355|9423|23242|25806|30009|51176|51339|57057|58495|64220|64321|65009|80144|140469|145258|286204|341640	ATP6V1B1|NKX3-2|FOXL2|CACNA1C|EYA1|FGF10|FOXF2|FLT1|GJA5|PDX1|ITGA4|AFF3|LRP2|MEF2C|MSX1|NEUROD1|NEUROG1|PRRX1|RARB|RYR2|SFRP2|SHH|TBX5|TBX15|WNT1|WNT9B|FZD7|LHX2|NTN1|COBL|VAX2|TBX21|LEF1|DACT1|TBX20|OVOL2|STRA6|SOX17|NDRG4|FRAS1|MYO3B|GSC|CRB2|FREM2	-7	19
embryonic morphogenesis	GO Biological Processes	19	GO:0048598	-3.5	2	3.9	27994	602	700	30	4.3	0.77	775|1301|2138|2254|2487|2668|2736|3172|3226|3398|3899|4838|4920|5156|5915|6169|6262|6422|8320|8557|8854|9132|23242|26585|51761|57216|64388|80144|140469|341640	CACNA1C|11A1|EYA1|FGF9|FRZB|GDNF|GLI2|HNF4A|HOXC10|ID2|AFF3|NODAL|ROR2|PDGFRA|RARB|RPL38|RYR2|SFRP1|EOMES|TCAP|ALDH1A2|KCNQ4|COBL|GREM1|ATP8A2|VANGL2|GREM2|FRAS1|MYO3B|FREM2	-3	14
embryonic morphogenesis	GO Biological Processes	19	GO:0048598	-2.4	1.7	3	27994	602	753	28	3.7	0.69	2138|2255|3481|3899|4208|4317|5456|5915|5979|6262|6474|6495|6788|7472|8013|8854|9496|10716|23242|25806|27152|51761|54903|80144|140469|140947|497189|100131390	EYA1|FGF10|IGF2|AFF3|MEF2C|MMP8|POU3F4|RARB|RET|RYR2|SHOX2|SIX1|STK3|WNT2|NR4A3|ALDH1A2|TBX4|TBR1|COBL|VAX2|INTU|ATP8A2|MKS1|FRAS1|MYO3B|DCANP1|TIFAB|SP9	-2.1	18
embryonic morphogenesis	GO Biological Processes	19	GO:0048598	-4.5	2.1	4.6	27994	602	741	34	4.6	0.77	187|655|775|2253|2627|2668|2719|2735|2736|3586|3676|3899|3975|4647|5156|5915|6262|6862|6928|7473|7475|7484|8516|8854|23242|25861|55084|60529|79977|84870|89780|131405|140469|340419	APLNR|BMP7|CACNA1C|FGF8|GATA6|GDNF|GPC3|GLI1|GLI2|IL10|ITGA4|AFF3|LHX1|MYO7A|PDGFRA|RARB|RYR2|TBXT|HNF1B|WNT3|WNT6|WNT9B|ITGA8|ALDH1A2|COBL|WHRN|SOBP|ALX4|GRHL2|RSPO3|WNT3A|TRIM71|MYO3B|RSPO2	-3.7	17
embryonic morphogenesis	GO Biological Processes	19	GO:0048598	-2.4	1.7	3	27994	602	722	27	3.7	0.71	775|2138|2139|2637|2736|3211|3679|3899|5013|5087|5915|6886|6928|7401|7481|8854|9132|23314|51384|51761|54567|64388|80144|84870|124590|140469|151449	CACNA1C|EYA1|EYA2|GBX2|GLI2|HOXB1|ITGA7|AFF3|OTX1|PBX1|RARB|TAL1|HNF1B|CLRN1|WNT11|ALDH1A2|KCNQ4|SATB2|WNT16|ATP8A2|DLL4|GREM2|FRAS1|RSPO3|USH1G|MYO3B|GDF7	-2.1	16
embryonic morphogenesis	GO Biological Processes	19	GO:0048598	-28	4.5	15	27994	602	823	79	9.6	1	257|474|655|775|1280|1482|1749|1750|2019|2139|2255|2290|2294|2321|2624|2625|2626|2778|3167|3170|3205|3206|3207|3212|3213|3214|3215|3216|3217|3218|3219|3227|3232|3233|3235|3236|3238|3239|3549|3899|4036|4208|4313|4318|4488|5015|5076|5079|5080|5100|5459|5629|6262|6496|6662|6913|7401|7545|8092|8646|9241|9350|9421|9464|9935|10083|10660|51176|51761|55084|57453|60529|64388|84870|121643|140469|221833|340784|341640	ALX3|ATOH1|BMP7|CACNA1C|2A1|NKX2-5|DLX5|DLX6|EN1|EYA2|FGF10|FOXG1|FOXF1|FLT1|GATA2|GATA3|GATA4|GNAS|HMX2|FOXA2|HOXA9|HOXA10|HOXA11|HOXB2|HOXB3|HOXB4|HOXB5|HOXB6|HOXB7|HOXB8|HOXB9|HOXC11|HOXD3|HOXD4|HOXD9|HOXD10|HOXD12|HOXD13|IHH|AFF3|LRP2|MEF2C|MMP2|MMP9|MSX2|OTX2|PAX2|PAX5|PAX6|PCDH8|POU4F3|PROX1|RYR2|SIX3|SOX9|TBX15|CLRN1|ZIC1|ALX1|CHRD|NOG|CER1|HAND1|HAND2|MAFB|USH1C|LBX1|LEF1|ATP8A2|SOBP|DSCAML1|ALX4|GREM2|RSPO3|FOXN4|MYO3B|SP8|HMX3|FREM2	-25	20
embryonic morphogenesis	GO Biological Processes	19	GO:0048598	-2.6	1.8	3.2	27994	602	724	28	3.9	0.72	652|655|775|1072|2138|2321|2736|3899|4920|5087|5396|5950|6664|7401|7473|7479|7484|8516|54345|54910|55112|80144|140469|339829|340419|341640|344022|348093	BMP4|BMP7|CACNA1C|CFL1|EYA1|FLT1|GLI2|AFF3|ROR2|PBX1|PRRX1|RBP4|SOX11|CLRN1|WNT3|WNT8B|WNT9B|ITGA8|SOX18|SEMA4C|DYNC2I1|FRAS1|MYO3B|CCDC39|RSPO2|FREM2|NOTO|RBPMS2	-2.3	12
epithelial cell fate commitment	GO Biological Processes	19	GO:0072148	-2.5	6.8	3.9	27994	15	823	3	0.36	0.21	474|4821|5629	ATOH1|NKX2-2|PROX1	-1.9	20
epithelial cell development	GO Biological Processes	19	GO:0002064	-2.5	2.3	3.3	27994	226	741	14	1.9	0.5	654|1003|1761|5144|5802|5915|7827|9370|9863|25861|26084|57835|168002|389015	BMP6|CDH5|DMRT1|PDE4D|PTPRS|RARB|NPHS2|ADIPOQ|MAGI2|WHRN|ARHGEF26|SLC4A5|DACT2|SLC9A4	-2.2	15
epithelial cell development	GO Biological Processes	19	GO:0002064	-3.4	2.6	4.1	27994	226	823	17	2.1	0.5	1306|1761|3175|3274|3549|4821|4825|5080|5144|5629|6496|6662|7401|8419|9863|10481|26051	15A1|DMRT1|ONECUT1|HRH2|IHH|NKX2-2|NKX6-1|PAX6|PDE4D|PROX1|SIX3|SOX9|CLRN1|BFSP2|MAGI2|HOXB13|PPP1R16B	-2.9	20
epithelial cell development	GO Biological Processes	19	GO:0002064	-3.3	2.6	4	27994	226	765	16	2.1	0.52	579|654|2099|2302|3849|4868|4914|5138|5144|5915|9480|9863|11061|26051|54768|60484	NKX3-2|BMP6|ESR1|FOXJ1|KRT2|NPHS1|NTRK1|PDE2A|PDE4D|RARB|ONECUT2|MAGI2|CNMD|PPP1R16B|HYDIN|HAPLN2	-2.8	19
epithelial cell proliferation	GO Biological Processes	19	GO:0050673	-3.6	2	3.7	27994	465	823	27	3.3	0.62	1361|1749|1750|2255|2321|2624|2625|3082|3549|3815|4208|4824|4825|5076|5080|5629|6662|7060|8291|8549|9241|9420|26051|26257|58189|60675|93986	CPB2|DLX5|DLX6|FGF10|FLT1|GATA2|GATA3|HGF|IHH|KIT|MEF2C|NKX3-1|NKX6-1|PAX2|PAX6|PROX1|SOX9|THBS4|DYSF|LGR5|NOG|CYP7B1|PPP1R16B|NKX2-8|WFDC1|PROK2|FOXP2	-2.7	20
epithelial cell proliferation	GO Biological Processes	19	GO:0050673	-2.3	1.8	3	27994	465	765	23	3	0.62	654|2099|2138|2246|2255|2321|2658|3670|3676|3849|4208|4804|5468|6387|6423|6469|7480|8291|8324|11061|26051|58495|168667	BMP6|ESR1|EYA1|FGF1|FGF10|FLT1|GDF2|ISL1|ITGA4|KRT2|MEF2C|NGFR|PPARG|CXCL12|SFRP2|SHH|WNT10B|DYSF|FZD7|CNMD|PPP1R16B|OVOL2|BMPER	-2.1	19
epithelial tube morphogenesis	GO Biological Processes	19	GO:0060562	-2	1.9	2.7	27994	331	700	16	2.3	0.56	2043|2119|2138|2668|2736|4435|4838|5420|6262|6422|8320|8557|23242|26585|55083|57216	EPHA4|ETV5|EYA1|GDNF|GLI2|CITED1|NODAL|PODXL|RYR2|SFRP1|EOMES|TCAP|COBL|GREM1|KIF26B|VANGL2	-1.8	14
epithelial tube morphogenesis	GO Biological Processes	19	GO:0060562	-2.2	2	2.9	27994	331	724	17	2.3	0.56	652|655|846|1072|2043|2138|2736|5087|6664|7484|8549|10252|54345|54910|339829|340419|344022	BMP4|BMP7|CASR|CFL1|EPHA4|EYA1|GLI2|PBX1|SOX11|WNT9B|LGR5|SPRY1|SOX18|SEMA4C|CCDC39|RSPO2|NOTO	-2	12
epithelial tube morphogenesis	GO Biological Processes	19	GO:0060562	-3.3	2.4	4	27994	331	674	19	2.8	0.64	596|846|2719|2736|4036|4776|4855|5058|5420|6262|6299|6788|8928|9353|51176|55083|81792|170690|219736	BCL2|CASR|GPC3|GLI2|LRP2|NFATC4|NOTCH4|PAK1|PODXL|RYR2|SALL1|STK3|FOXH1|SLIT2|LEF1|KIF26B|ADAMTS12|ADAMTS16|STOX1	-2.8	7
epithelial tube morphogenesis	GO Biological Processes	19	GO:0060562	-2.4	2.1	3.1	27994	331	701	17	2.4	0.58	596|846|2045|4192|5499|6262|6356|7481|7482|9353|9423|23129|25928|55036|55083|57167|342184	BCL2|CASR|EPHA7|MDK|PPP1CA|RYR2|CCL11|WNT11|WNT2B|SLIT2|NTN1|PLXND1|SOSTDC1|CCDC40|KIF26B|SALL4|FMN1	-2.1	11
epithelial tube morphogenesis	GO Biological Processes	19	GO:0060562	-5.3	2.8	5.4	27994	331	765	25	3.3	0.64	2099|2138|2246|2255|2658|4036|4208|6262|6423|6469|7471|7484|9353|9355|9423|23242|30009|51176|55083|57057|58495|64321|65009|81792|170690	ESR1|EYA1|FGF1|FGF10|GDF2|LRP2|MEF2C|RYR2|SFRP2|SHH|WNT1|WNT9B|SLIT2|LHX2|NTN1|COBL|TBX21|LEF1|KIF26B|TBX20|OVOL2|SOX17|NDRG4|ADAMTS12|ADAMTS16	-4.4	19
epithelial tube morphogenesis	GO Biological Processes	19	GO:0060562	-4.1	2.5	4.6	27994	331	741	22	3	0.62	655|846|2253|2668|2719|2736|3516|3975|6262|6862|6928|7475|7484|8642|23242|26249|79977|81792|89780|131405|170690|340419	BMP7|CASR|FGF8|GDNF|GPC3|GLI2|RBPJ|LHX1|RYR2|TBXT|HNF1B|WNT6|WNT9B|DCHS1|COBL|KLHL3|GRHL2|ADAMTS12|WNT3A|TRIM71|ADAMTS16|RSPO2	-3.4	17
epithelial tube morphogenesis	GO Biological Processes	19	GO:0060562	-7.2	3.1	6.6	27994	331	823	30	3.6	0.65	655|1482|2255|2294|2625|2626|3207|3217|3237|3549|4036|4208|4488|4824|5076|5629|6262|6662|7080|7490|8092|8549|9241|9353|9421|9464|10660|51176|55083|121643	BMP7|NKX2-5|FGF10|FOXF1|GATA3|GATA4|HOXA11|HOXB7|HOXD11|IHH|LRP2|MEF2C|MSX2|NKX3-1|PAX2|PROX1|RYR2|SOX9|NKX2-1|WT1|ALX1|LGR5|NOG|SLIT2|HAND1|HAND2|LBX1|LEF1|KIF26B|FOXN4	-6	20
epithelial tube morphogenesis	GO Biological Processes	19	GO:0060562	-2.2	2	2.9	27994	331	733	17	2.3	0.56	1950|2119|2719|4036|4855|6262|6768|8549|8820|9353|9423|55083|81792|89780|123872|170690|340419	EGF|ETV5|GPC3|LRP2|NOTCH4|RYR2|ST14|LGR5|HESX1|SLIT2|NTN1|KIF26B|ADAMTS12|WNT3A|DNAAF1|ADAMTS16|RSPO2	-2	13
digestive system development	GO Biological Processes	19	GO:0055123	-6.2	4.2	6.6	27994	147	765	17	2.2	0.53	579|1045|1600|2255|2295|3651|5125|5915|6423|6469|23242|51339|58495|64220|64321|91461|159296	NKX3-2|CDX2|DAB1|FGF10|FOXF2|PDX1|PCSK5|RARB|SFRP2|SHH|COBL|DACT1|OVOL2|STRA6|SOX17|PKDCC|NKX2-3	-5.2	19
digestive system development	GO Biological Processes	19	GO:0055123	-4.1	3.5	4.9	27994	147	700	13	1.9	0.51	1600|2254|2736|3398|4838|5125|5156|5697|5915|6422|8854|23242|57216	DAB1|FGF9|GLI2|ID2|NODAL|PCSK5|PDGFRA|PYY|RARB|SFRP1|ALDH1A2|COBL|VANGL2	-3.4	14
digestive system development	GO Biological Processes	19	GO:0055123	-3.3	3.1	4.2	27994	147	741	12	1.6	0.46	887|1600|2627|2735|2736|5156|5915|6928|8642|8854|23242|60529	CCKBR|DAB1|GATA6|GLI1|GLI2|PDGFRA|RARB|HNF1B|DCHS1|ALDH1A2|COBL|ALX4	-2.8	17
digestive system development	GO Biological Processes	19	GO:0055123	-4.5	3.5	5.2	27994	147	823	15	1.8	0.47	1600|2255|2294|2626|3239|3274|3549|3815|4821|4852|56033|60529|137814|140628|256297	DAB1|FGF10|FOXF1|GATA4|HOXD13|HRH2|IHH|KIT|NKX2-2|NPY|BARX1|ALX4|NKX2-6|GATA5|PTF1A	-3.8	20
digestive system development	GO Biological Processes	19	GO:0055123	-6.2	4.2	6.6	27994	147	765	17	2.2	0.53	579|1045|1600|2255|2295|3651|5125|5915|6423|6469|23242|51339|58495|64220|64321|91461|159296	NKX3-2|CDX2|DAB1|FGF10|FOXF2|PDX1|PCSK5|RARB|SFRP2|SHH|COBL|DACT1|OVOL2|STRA6|SOX17|PKDCC|NKX2-3	-5.2	19
digestive system development	GO Biological Processes	19	GO:0055123	-4.1	3.5	4.9	27994	147	700	13	1.9	0.51	1600|2254|2736|3398|4838|5125|5156|5697|5915|6422|8854|23242|57216	DAB1|FGF9|GLI2|ID2|NODAL|PCSK5|PDGFRA|PYY|RARB|SFRP1|ALDH1A2|COBL|VANGL2	-3.4	14
digestive system development	GO Biological Processes	19	GO:0055123	-3.3	3.1	4.2	27994	147	741	12	1.6	0.46	887|1600|2627|2735|2736|5156|5915|6928|8642|8854|23242|60529	CCKBR|DAB1|GATA6|GLI1|GLI2|PDGFRA|RARB|HNF1B|DCHS1|ALDH1A2|COBL|ALX4	-2.8	17
digestive system development	GO Biological Processes	19	GO:0055123	-4.5	3.5	5.2	27994	147	823	15	1.8	0.47	1600|2255|2294|2626|3239|3274|3549|3815|4821|4852|56033|60529|137814|140628|256297	DAB1|FGF10|FOXF1|GATA4|HOXD13|HRH2|IHH|KIT|NKX2-2|NPY|BARX1|ALX4|NKX2-6|GATA5|PTF1A	-3.8	20
blood vessel development	GO Biological Processes	19	GO:0001568	-2.5	1.7	3.1	27994	794	693	33	4.8	0.81	94|354|577|861|1003|1950|4052|4208|4638|5125|5140|5587|5740|6092|6095|6444|6997|7010|7046|9353|9734|10365|23414|51176|51548|54538|55576|56999|64094|79400|168667|221981|374887	ACVRL1|KLK3|ADGRB3|RUNX1|CDH5|EGF|LTBP1|MEF2C|MYLK|PCSK5|PDE3B|PRKD1|PTGIS|ROBO2|RORA|SGCD|TDGF1|TEK|TGFBR1|SLIT2|HDAC9|KLF2|ZFPM2|LEF1|SIRT6|ROBO4|STAB2|ADAMTS9|SMOC2|NOX5|BMPER|THSD7A|YJEFN3	-2.2	10
blood vessel development	GO Biological Processes	19	GO:0001568	-3.4	1.8	3.8	27994	794	670	35	5.2	0.86	577|728|729|861|1139|1285|2047|2138|2719|3037|3593|4036|4052|5140|5154|5230|5764|6095|6688|7010|7015|7058|8291|9037|9353|10563|23414|27035|28984|51176|55576|58495|140862|168667|221981	ADGRB3|C5AR1|C6|RUNX1|CHRNA7|4A3|EPHB1|EYA1|GPC3|HAS2|IL12B|LRP2|LTBP1|PDE3B|PDGFA|PGK1|PTN|RORA|SPI1|TEK|TERT|THBS2|DYSF|SEMA5A|SLIT2|CXCL13|ZFPM2|NOX1|RGCC|LEF1|STAB2|OVOL2|ISM1|BMPER|THSD7A	-2.8	3
blood vessel development	GO Biological Processes	19	GO:0001568	-3.6	1.9	4	27994	794	724	38	5.2	0.83	338|575|577|652|655|861|1278|1901|2028|2138|2321|4016|4052|5125|5140|5396|5468|5579|6092|6095|6369|6444|7075|7541|9734|23166|23414|25960|54345|57125|57608|58504|79400|84432|91010|146850|168667|221981	APOB|ADGRB1|ADGRB3|BMP4|BMP7|RUNX1|1A2|S1PR1|ENPEP|EYA1|FLT1|LOXL1|LTBP1|PCSK5|PDE3B|PRRX1|PPARG|PRKCB|ROBO2|RORA|CCL24|SGCD|TIE1|ZBTB14|HDAC9|STAB1|ZFPM2|ADGRA2|SOX18|PLXDC1|JCAD|ARHGAP22|NOX5|PROK1|FMNL3|PIK3R6|BMPER|THSD7A	-3.1	12
blood vessel development	GO Biological Processes	19	GO:0001568	-3.3	1.8	3.7	27994	794	700	36	5.1	0.83	14|71|240|350|576|861|1139|1215|1285|1306|2138|2254|4435|4838|5125|5140|5156|5168|5468|5740|6095|6422|8854|10451|23251|23414|26585|51162|55576|56999|57125|57381|80781|81031|147372|153090	AAMP|ACTG1|ALOX5|APOH|ADGRB2|RUNX1|CHRNA7|CMA1|4A3|15A1|EYA1|FGF9|CITED1|NODAL|PCSK5|PDE3B|PDGFRA|ENPP2|PPARG|PTGIS|RORA|SFRP1|ALDH1A2|VAV3|MINAR1|ZFPM2|GREM1|EGFL7|STAB2|ADAMTS9|PLXDC1|RHOJ|18A1|SLC2A10|CCBE1|DAB2IP	-2.8	14
blood vessel development	GO Biological Processes	19	GO:0001568	-4.1	1.9	4.3	27994	794	765	41	5.4	0.81	729|1045|1524|2138|2246|2255|2321|2658|2702|3670|4036|4208|4804|4846|4915|5125|5138|5396|5468|5787|6423|6469|6910|7021|8291|9353|10451|11005|11061|23414|23554|26051|51176|55576|57057|58495|64220|64321|112744|168667|221981	C6|CDX2|CX3CR1|EYA1|FGF1|FGF10|FLT1|GDF2|GJA5|ISL1|LRP2|MEF2C|NGFR|NOS3|NTRK2|PCSK5|PDE2A|PRRX1|PPARG|PTPRB|SFRP2|SHH|TBX5|TFAP2B|DYSF|SLIT2|VAV3|SPINK5|CNMD|ZFPM2|TSPAN12|PPP1R16B|LEF1|STAB2|TBX20|OVOL2|STRA6|SOX17|IL17F|BMPER|THSD7A	-3.4	19
blood vessel development	GO Biological Processes	19	GO:0001568	-3	1.8	3.5	27994	794	674	34	5	0.84	283|577|861|1000|1232|1285|2047|2719|4017|4036|4776|4855|5125|5140|5578|5579|6092|6095|6915|8928|9353|9734|10016|10266|23414|51176|55576|57608|58504|64094|83700|140862|146850|169044	ANG|ADGRB3|RUNX1|CDH2|CCR3|4A3|EPHB1|GPC3|LOXL2|LRP2|NFATC4|NOTCH4|PCSK5|PDE3B|PRKCA|PRKCB|ROBO2|RORA|TBXA2R|FOXH1|SLIT2|HDAC9|PDCD6|RAMP2|ZFPM2|LEF1|STAB2|JCAD|ARHGAP22|SMOC2|JAM3|ISM1|PIK3R6|22A1	-2.6	7
blood vessel development	GO Biological Processes	19	GO:0001568	-2.4	1.7	3	27994	794	650	31	4.8	0.84	577|861|1139|2028|2047|3687|4036|4052|4091|4915|5125|5140|5168|5579|5787|6608|7015|7477|8291|8817|9353|23213|23414|55576|57608|58504|64094|79400|83700|221395|100507588	ADGRB3|RUNX1|CHRNA7|ENPEP|EPHB1|ITGAX|LRP2|LTBP1|SMAD6|NTRK2|PCSK5|PDE3B|ENPP2|PRKCB|PTPRB|SMO|TERT|WNT7B|DYSF|FGF18|SLIT2|SULF1|ZFPM2|STAB2|JCAD|ARHGAP22|SMOC2|NOX5|JAM3|ADGRF5|TGFBR3L	-2.1	9
blood vessel development	GO Biological Processes	19	GO:0001568	-5.3	2	5	27994	794	823	47	5.7	0.81	655|861|1139|1306|1482|2255|2294|2307|2321|2624|2626|3082|3213|3549|3848|4036|4208|4313|4824|4915|5080|5168|5294|5629|6095|6850|7060|7101|7490|8291|9241|9353|9421|9464|10268|10481|11082|23493|26051|51176|51666|56999|60675|64094|79625|84700|84870	BMP7|RUNX1|CHRNA7|15A1|NKX2-5|FGF10|FOXF1|FOXS1|FLT1|GATA2|GATA4|HGF|HOXB3|IHH|KRT1|LRP2|MEF2C|MMP2|NKX3-1|NTRK2|PAX6|ENPP2|PIK3CG|PROX1|RORA|SYK|THBS4|NR2E1|WT1|DYSF|NOG|SLIT2|HAND1|HAND2|RAMP3|HOXB13|ESM1|HEY2|PPP1R16B|LEF1|ASB4|ADAMTS9|PROK2|SMOC2|NDNF|MYO18B|RSPO3	-4.4	20
