Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0099536,synaptic signaling,19_GO:0023052 signaling,-7.2,2.6,6.4,27994,741,542,38,7,1.1,18|40|107|777|783|785|793|1607|1814|1838|2259|2557|2897|3358|3751|4983|4988|5575|8564|8573|8618|9229|9568|9699|11141|22854|22987|22999|23228|25769|26059|27445|51760|57282|60482|79608|79772|200959,ABAT|ASIC2|ADCY1|CACNA1E|CACNB2|CACNB4|CALB1|DGKB|DRD3|DTNB|FGF14|GABRA4|GRIK1|HTR2C|KCND2|OPHN1|OPRM1|PRKAR1B|KMO|CASK|CADPS|DLGAP1|GABBR2|RIMS2|IL1RAPL1|NTNG1|SV2C|RIMS1|PLCL2|SLC24A2|ERC2|PCLO|SYT17|SLC4A10|SLC5A7|RIC3|MCTP1|GABRR3,-5.5,1
GO Biological Processes,19,GO:0099537,trans-synaptic signaling,19_GO:0023052 signaling,-6.9,2.6,6.2,27994,732,542,37,6.8,1.1,18|40|107|777|783|785|793|1607|1814|2259|2557|2897|3358|3751|4983|4988|5575|8564|8573|8618|9229|9568|9699|11141|22854|22987|22999|23228|25769|26059|27445|51760|57282|60482|79608|79772|200959,ABAT|ASIC2|ADCY1|CACNA1E|CACNB2|CACNB4|CALB1|DGKB|DRD3|FGF14|GABRA4|GRIK1|HTR2C|KCND2|OPHN1|OPRM1|PRKAR1B|KMO|CASK|CADPS|DLGAP1|GABBR2|RIMS2|IL1RAPL1|NTNG1|SV2C|RIMS1|PLCL2|SLC24A2|ERC2|PCLO|SYT17|SLC4A10|SLC5A7|RIC3|MCTP1|GABRR3,-5.2,1
GO Biological Processes,19,GO:0061564,axon development,19_GO:0032502 developmental process,-6.7,2.9,6.3,27994,530,542,30,5.5,0.98,107|288|596|3800|3909|4147|4781|4897|4983|5800|6049|6092|6586|7074|7224|8239|9201|9315|9369|9723|10752|22854|51062|51265|57408|57643|83999|84570|84612|494470,ADCY1|ANK3|BCL2|KIF5C|LAMA3|MATN2|NFIB|NRCAM|OPHN1|PTPRO|RNF6|ROBO2|SLIT3|TIAM1|TRPC5|USP9X|DCLK1|NREP|NRXN3|SEMA3E|CHL1|NTNG1|ATL1|CDKL3|LRTM1|ZSWIM5|KREMEN1|25A1|PARD6B|RNF165,-5.1,1
GO Biological Processes,19,GO:0070838,divalent metal ion transport,19_GO:0051179 localization,-6.6,3,6.3,27994,475,542,28,5.2,0.95,287|596|775|777|783|785|859|1814|2259|3358|3708|4988|5144|7224|7421|8573|9472|25769|54499|55799|84102|117532|140803|151651|168507|169026|221074|283652,ANK2|BCL2|CACNA1C|CACNA1E|CACNB2|CACNB4|CAV3|DRD3|FGF14|HTR2C|ITPR1|OPRM1|PDE4D|TRPC5|VDR|CASK|AKAP6|SLC24A2|TMCO1|CACNA2D3|SLC41A2|TMC2|TRPM6|EFHB|PKD1L1|SLC30A8|SLC39A12|SLC24A5,-5.1,1
GO Biological Processes,19,GO:0072511,divalent inorganic cation transport,19_GO:0051179 localization,-6.5,3,6.2,27994,481,542,28,5.2,0.95,287|596|775|777|783|785|859|1814|2259|3358|3708|4988|5144|7224|7421|8573|9472|25769|54499|55799|84102|117532|140803|151651|168507|169026|221074|283652,ANK2|BCL2|CACNA1C|CACNA1E|CACNB2|CACNB4|CAV3|DRD3|FGF14|HTR2C|ITPR1|OPRM1|PDE4D|TRPC5|VDR|CASK|AKAP6|SLC24A2|TMCO1|CACNA2D3|SLC41A2|TMC2|TRPM6|EFHB|PKD1L1|SLC30A8|SLC39A12|SLC24A5,-5,1
GO Biological Processes,19,GO:0098916,anterograde trans-synaptic signaling,19_GO:0023052 signaling,-6.5,2.6,6,27994,724,542,36,6.6,1.1,18|40|107|777|783|785|793|1607|1814|2259|2557|2897|3358|3751|4983|4988|5575|8564|8573|8618|9229|9568|9699|22854|22987|22999|23228|25769|26059|27445|51760|57282|60482|79608|79772|200959,ABAT|ASIC2|ADCY1|CACNA1E|CACNB2|CACNB4|CALB1|DGKB|DRD3|FGF14|GABRA4|GRIK1|HTR2C|KCND2|OPHN1|OPRM1|PRKAR1B|KMO|CASK|CADPS|DLGAP1|GABBR2|RIMS2|NTNG1|SV2C|RIMS1|PLCL2|SLC24A2|ERC2|PCLO|SYT17|SLC4A10|SLC5A7|RIC3|MCTP1|GABRR3,-5,1
GO Biological Processes,19,GO:0007268,chemical synaptic transmission,19_GO:0023052 signaling,-6.5,2.6,6,27994,724,542,36,6.6,1.1,18|40|107|777|783|785|793|1607|1814|2259|2557|2897|3358|3751|4983|4988|5575|8564|8573|8618|9229|9568|9699|22854|22987|22999|23228|25769|26059|27445|51760|57282|60482|79608|79772|200959,ABAT|ASIC2|ADCY1|CACNA1E|CACNB2|CACNB4|CALB1|DGKB|DRD3|FGF14|GABRA4|GRIK1|HTR2C|KCND2|OPHN1|OPRM1|PRKAR1B|KMO|CASK|CADPS|DLGAP1|GABBR2|RIMS2|NTNG1|SV2C|RIMS1|PLCL2|SLC24A2|ERC2|PCLO|SYT17|SLC4A10|SLC5A7|RIC3|MCTP1|GABRR3,-5,1
GO Biological Processes,19,GO:0007409,axonogenesis,19_GO:0032502 developmental process,-6.5,3,6.2,27994,482,542,28,5.2,0.95,107|288|596|3800|3909|4147|4781|4897|4983|5800|6049|6092|6586|7074|7224|8239|9201|9369|9723|10752|22854|51062|51265|57408|57643|84570|84612|494470,ADCY1|ANK3|BCL2|KIF5C|LAMA3|MATN2|NFIB|NRCAM|OPHN1|PTPRO|RNF6|ROBO2|SLIT3|TIAM1|TRPC5|USP9X|DCLK1|NRXN3|SEMA3E|CHL1|NTNG1|ATL1|CDKL3|LRTM1|ZSWIM5|25A1|PARD6B|RNF165,-5,1
GO Biological Processes,19,GO:0034765,regulation of ion transmembrane transport,19_GO:0051179 localization,-6.4,3,6.1,27994,489,542,28,5.2,0.95,40|287|288|775|777|783|785|859|1536|1814|2259|3751|3763|3778|3784|4988|5144|6323|6336|9472|27035|51703|54207|55799|59272|80333|117532|375611,ASIC2|ANK2|ANK3|CACNA1C|CACNA1E|CACNB2|CACNB4|CAV3|CYBB|DRD3|FGF14|KCND2|KCNJ6|KCNMA1|KCNQ1|OPRM1|PDE4D|SCN1A|SCN10A|AKAP6|NOX1|ACSL5|KCNK10|CACNA2D3|ACE2|KCNIP4|TMC2|SLC26A5,-4.9,1
GO Biological Processes,19,GO:0070588,calcium ion transmembrane transport,19_GO:0051179 localization,-6.1,3.5,6.3,27994,308,542,21,3.9,0.83,287|775|777|783|785|859|1814|2259|3358|3708|4988|5144|7224|9472|25769|54499|55799|117532|140803|168507|283652,ANK2|CACNA1C|CACNA1E|CACNB2|CACNB4|CAV3|DRD3|FGF14|HTR2C|ITPR1|OPRM1|PDE4D|TRPC5|AKAP6|SLC24A2|TMCO1|CACNA2D3|TMC2|TRPM6|PKD1L1|SLC24A5,-4.7,1
GO Biological Processes,19,GO:0006816,calcium ion transport,19_GO:0051179 localization,-6,3,5.9,27994,426,542,25,4.6,0.9,287|596|775|777|783|785|859|1814|2259|3358|3708|4988|5144|7224|7421|8573|9472|25769|54499|55799|117532|140803|151651|168507|283652,ANK2|BCL2|CACNA1C|CACNA1E|CACNB2|CACNB4|CAV3|DRD3|FGF14|HTR2C|ITPR1|OPRM1|PDE4D|TRPC5|VDR|CASK|AKAP6|SLC24A2|TMCO1|CACNA2D3|TMC2|TRPM6|EFHB|PKD1L1|SLC24A5,-4.6,1
GO Biological Processes,19,GO:0034762,regulation of transmembrane transport,19_GO:0051179 localization,-5.9,2.7,5.7,27994,577,542,30,5.5,0.98,40|287|288|596|775|777|783|785|859|1536|1814|2259|2719|3751|3763|3778|3784|4988|5144|6323|6336|9472|27035|51703|54207|55799|59272|80333|117532|375611,ASIC2|ANK2|ANK3|BCL2|CACNA1C|CACNA1E|CACNB2|CACNB4|CAV3|CYBB|DRD3|FGF14|GPC3|KCND2|KCNJ6|KCNMA1|KCNQ1|OPRM1|PDE4D|SCN1A|SCN10A|AKAP6|NOX1|ACSL5|KCNK10|CACNA2D3|ACE2|KCNIP4|TMC2|SLC26A5,-4.5,1
GO Biological Processes,19,GO:0099003,vesicle-mediated transport in synapse,19_GO:0051179 localization,-5.9,4.1,6.4,27994,216,542,17,3.1,0.75,107|783|1814|3800|4983|8573|8618|9699|9829|11037|22999|23426|26052|26059|27445|51760|85439,ADCY1|CACNB2|DRD3|KIF5C|OPHN1|CASK|CADPS|RIMS2|DNAJC6|STON1|RIMS1|GRIP1|DNM3|ERC2|PCLO|SYT17|STON2,-4.5,1
GO Biological Processes,19,GO:0045664,regulation of neuron differentiation,19_GO:0032502 developmental process,-5.9,2.5,5.6,27994,675,542,33,6.1,1,238|463|596|654|950|1272|1809|4674|4897|4919|5800|6049|6092|7068|7074|7224|8997|9315|9699|9723|11141|22854|22891|22999|23426|26052|50937|51265|51760|57118|57643|83999|221074,ALK|ZFHX3|BCL2|BMP6|SCARB2|CNTN1|DPYSL3|NAP1L2|NRCAM|ROR1|PTPRO|RNF6|ROBO2|THRB|TIAM1|TRPC5|KALRN|NREP|RIMS2|SEMA3E|IL1RAPL1|NTNG1|ZNF365|RIMS1|GRIP1|DNM3|CDON|CDKL3|SYT17|CAMK1D|ZSWIM5|KREMEN1|SLC39A12,-4.5,1
Reactome Gene Sets,6,R-HSA-112315,Transmission across Chemical Synapses,,-5.8,3.6,6.1,27994,270,542,19,3.5,0.79,18|107|777|783|785|2557|2792|2897|3763|5575|7102|8573|9568|22999|23426|55799|60482|79861|200959,ABAT|ADCY1|CACNA1E|CACNB2|CACNB4|GABRA4|GNGT1|GRIK1|KCNJ6|PRKAR1B|TSPAN7|CASK|GABBR2|RIMS1|GRIP1|CACNA2D3|SLC5A7|TUBAL3|GABRR3,-4.5,1
GO Biological Processes,19,GO:0099504,synaptic vesicle cycle,19_GO:0051179 localization,-5.7,4.1,6.2,27994,201,542,16,3,0.73,107|783|2259|4983|5575|8573|8618|9699|9829|11037|22999|26052|26059|27445|51760|85439,ADCY1|CACNB2|FGF14|OPHN1|PRKAR1B|CASK|CADPS|RIMS2|DNAJC6|STON1|RIMS1|DNM3|ERC2|PCLO|SYT17|STON2,-4.4,1
GO Biological Processes,19,GO:0044057,regulation of system process,19_GO:0032501 multicellular organismal process,-5.7,2.6,5.5,27994,626,542,31,5.7,1,18|40|287|654|775|783|785|859|1814|2643|3358|3708|3751|3778|3784|4988|5144|5800|6336|7068|9229|9472|9699|11343|22999|29119|55273|55328|55799|59272|80333,ABAT|ASIC2|ANK2|BMP6|CACNA1C|CACNB2|CACNB4|CAV3|DRD3|GCH1|HTR2C|ITPR1|KCND2|KCNMA1|KCNQ1|OPRM1|PDE4D|PTPRO|SCN10A|THRB|DLGAP1|AKAP6|RIMS2|MGLL|RIMS1|CTNNA3|TMEM100|RNLS|CACNA2D3|ACE2|KCNIP4,-4.3,1
GO Biological Processes,19,GO:0035637,multicellular organismal signaling,19_GO:0023052 signaling,-5.5,4,6.1,27994,207,542,16,3,0.73,287|288|775|783|785|3708|3751|3784|4897|5144|6323|6336|29119|55799|59272|80333,ANK2|ANK3|CACNA1C|CACNB2|CACNB4|ITPR1|KCND2|KCNQ1|NRCAM|PDE4D|SCN1A|SCN10A|CTNNA3|CACNA2D3|ACE2|KCNIP4,-4.2,1
Reactome Gene Sets,6,R-HSA-5576891,Cardiac conduction,,-5.5,4.8,6.4,27994,139,542,13,2.4,0.66,775|783|785|2259|3708|3751|3776|3784|6323|6336|54207|55799|80333,CACNA1C|CACNB2|CACNB4|FGF14|ITPR1|KCND2|KCNK2|KCNQ1|SCN1A|SCN10A|KCNK10|CACNA2D3|KCNIP4,-4.2,1
GO Biological Processes,19,GO:0007610,behavior,19_GO:0007610 behavior,-5.4,2.5,5.4,27994,609,542,30,5.5,0.98,18|107|238|463|596|680|793|1814|3358|3751|3776|4864|4988|5575|6323|7068|8516|8701|8997|9369|10396|10752|25769|27306|54207|57144|57282|59272|63951|84623,ABAT|ADCY1|ALK|ZFHX3|BCL2|BRS3|CALB1|DRD3|HTR2C|KCND2|KCNK2|NPC1|OPRM1|PRKAR1B|SCN1A|THRB|ITGA8|DNAH11|KALRN|NRXN3|ATP8A1|CHL1|SLC24A2|HPGDS|KCNK10|PAK5|SLC4A10|ACE2|DMRTA1|KIRREL3,-4.2,1
Reactome Gene Sets,6,R-HSA-373760,L1CAM interactions,,-5.4,5.2,6.5,27994,119,542,12,2.2,0.63,287|288|1272|1641|4478|4897|5962|6323|6336|10752|26052|79861,ANK2|ANK3|CNTN1|DCX|MSN|NRCAM|RDX|SCN1A|SCN10A|CHL1|DNM3|TUBAL3,-4.2,1
GO Biological Processes,19,GO:0008015,blood circulation,19_GO:0032501 multicellular organismal process,-5.4,2.6,5.4,27994,548,542,28,5.2,0.95,18|40|287|367|654|680|775|783|785|859|1814|2153|2643|3708|3751|3778|3784|5144|5800|6323|6336|7068|27035|29119|55328|55799|59272|80333,ABAT|ASIC2|ANK2|AR|BMP6|BRS3|CACNA1C|CACNB2|CACNB4|CAV3|DRD3|F5|GCH1|ITPR1|KCND2|KCNMA1|KCNQ1|PDE4D|PTPRO|SCN1A|SCN10A|THRB|NOX1|CTNNA3|RNLS|CACNA2D3|ACE2|KCNIP4,-4.2,1
GO Biological Processes,19,GO:0003013,circulatory system process,19_GO:0032501 multicellular organismal process,-5.3,2.6,5.3,27994,559,542,28,5.2,0.95,18|40|287|367|654|680|775|783|785|859|1814|2153|2643|3708|3751|3778|3784|5144|5800|6323|6336|7068|27035|29119|55328|55799|59272|80333,ABAT|ASIC2|ANK2|AR|BMP6|BRS3|CACNA1C|CACNB2|CACNB4|CAV3|DRD3|F5|GCH1|ITPR1|KCND2|KCNMA1|KCNQ1|PDE4D|PTPRO|SCN1A|SCN10A|THRB|NOX1|CTNNA3|RNLS|CACNA2D3|ACE2|KCNIP4,-4,1
GO Biological Processes,19,GO:0120035,regulation of plasma membrane bounded cell projection organization,19_GO:0071840 cellular component organization or biogenesis,-5.2,2.4,5.2,27994,722,542,33,6.1,1,238|950|1272|1809|4897|4919|5168|5800|5962|6049|6092|7074|7224|8997|9699|9723|9750|11141|22854|22891|22999|23426|26052|51057|51265|51760|57118|57451|57643|83999|139818|158297|221074,ALK|SCARB2|CNTN1|DPYSL3|NRCAM|ROR1|ENPP2|PTPRO|RDX|RNF6|ROBO2|TIAM1|TRPC5|KALRN|RIMS2|SEMA3E|RIPOR2|IL1RAPL1|NTNG1|ZNF365|RIMS1|GRIP1|DNM3|WDPCP|CDKL3|SYT17|CAMK1D|TENM2|ZSWIM5|KREMEN1|DOCK11|SAXO1|SLC39A12,-4,1
GO Biological Processes,19,GO:0086010,membrane depolarization during action potential,19_GO:0065007 biological regulation,-5.2,9.8,7.5,27994,37,542,7,1.3,0.48,287|288|775|783|859|6323|6336,ANK2|ANK3|CACNA1C|CACNB2|CAV3|SCN1A|SCN10A,-4,1
GO Biological Processes,19,GO:0061337,cardiac conduction,19_GO:0023052 signaling,-5.1,4.5,6,27994,149,542,13,2.4,0.66,287|775|783|785|3708|3751|3784|5144|6336|29119|55799|59272|80333,ANK2|CACNA1C|CACNB2|CACNB4|ITPR1|KCND2|KCNQ1|PDE4D|SCN10A|CTNNA3|CACNA2D3|ACE2|KCNIP4,-4,1
GO Biological Processes,19,GO:0031344,regulation of cell projection organization,19_GO:0071840 cellular component organization or biogenesis,-5.1,2.3,5.1,27994,732,542,33,6.1,1,238|950|1272|1809|4897|4919|5168|5800|5962|6049|6092|7074|7224|8997|9699|9723|9750|11141|22854|22891|22999|23426|26052|51057|51265|51760|57118|57451|57643|83999|139818|158297|221074,ALK|SCARB2|CNTN1|DPYSL3|NRCAM|ROR1|ENPP2|PTPRO|RDX|RNF6|ROBO2|TIAM1|TRPC5|KALRN|RIMS2|SEMA3E|RIPOR2|IL1RAPL1|NTNG1|ZNF365|RIMS1|GRIP1|DNM3|WDPCP|CDKL3|SYT17|CAMK1D|TENM2|ZSWIM5|KREMEN1|DOCK11|SAXO1|SLC39A12,-3.9,1
GO Biological Processes,19,GO:0007626,locomotory behavior,19_GO:0007610 behavior,-5.1,3.9,5.8,27994,199,542,15,2.8,0.7,18|238|463|793|1814|3358|3751|4864|4988|6323|8997|10752|27306|57144|57282,ABAT|ALK|ZFHX3|CALB1|DRD3|HTR2C|KCND2|NPC1|OPRM1|SCN1A|KALRN|CHL1|HPGDS|PAK5|SLC4A10,-3.9,1
KEGG Pathway,24,ko05412,Arrhythmogenic right ventricular cardiomyopathy (ARVC),,-5,6.5,6.5,27994,72,542,9,1.7,0.55,775|783|785|3694|8516|22801|29119|51176|55799,CACNA1C|CACNB2|CACNB4|ITGB6|ITGA8|ITGA11|CTNNA3|LEF1|CACNA2D3,-3.8,1
GO Biological Processes,19,GO:0031346,positive regulation of cell projection organization,19_GO:0048518 positive regulation of biological process,-5,2.9,5.3,27994,394,542,22,4.1,0.85,238|950|1272|1809|4919|5168|6092|7074|7224|8997|9699|9750|11141|22999|23426|26052|51265|51760|57118|57451|139818|158297,ALK|SCARB2|CNTN1|DPYSL3|ROR1|ENPP2|ROBO2|TIAM1|TRPC5|KALRN|RIMS2|RIPOR2|IL1RAPL1|RIMS1|GRIP1|DNM3|CDKL3|SYT17|CAMK1D|TENM2|DOCK11|SAXO1,-3.8,1
GO Biological Processes,19,GO:0051899,membrane depolarization,19_GO:0065007 biological regulation,-5,5.7,6.3,27994,91,542,10,1.8,0.58,287|288|596|775|777|783|785|859|6323|6336,ANK2|ANK3|BCL2|CACNA1C|CACNA1E|CACNB2|CACNB4|CAV3|SCN1A|SCN10A,-3.8,1
KEGG Pathway,24,ko05032,Morphine addiction,,-5,5.7,6.3,27994,91,542,10,1.8,0.58,107|157|2557|2792|3763|4988|5144|9568|10846|200959,ADCY1|GRK3|GABRA4|GNGT1|KCNJ6|OPRM1|PDE4D|GABBR2|PDE10A|GABRR3,-3.8,1
GO Biological Processes,19,GO:0010975,regulation of neuron projection development,19_GO:0032502 developmental process,-5,2.6,5.2,27994,517,542,26,4.8,0.92,238|950|1272|1809|4897|4919|5800|6049|6092|7074|7224|8997|9699|9723|11141|22854|22891|22999|23426|26052|51265|51760|57118|57643|83999|221074,ALK|SCARB2|CNTN1|DPYSL3|NRCAM|ROR1|PTPRO|RNF6|ROBO2|TIAM1|TRPC5|KALRN|RIMS2|SEMA3E|IL1RAPL1|NTNG1|ZNF365|RIMS1|GRIP1|DNM3|CDKL3|SYT17|CAMK1D|ZSWIM5|KREMEN1|SLC39A12,-3.8,1
GO Biological Processes,19,GO:0006836,neurotransmitter transport,19_GO:0051179 localization,-4.9,3.3,5.4,27994,282,542,18,3.3,0.77,18|107|783|1814|2824|3358|4129|8564|8573|8618|9699|22987|22999|26059|27445|51760|60482|79772,ABAT|ADCY1|CACNB2|DRD3|GPM6B|HTR2C|MAOB|KMO|CASK|CADPS|RIMS2|SV2C|RIMS1|ERC2|PCLO|SYT17|SLC5A7|MCTP1,-3.8,1
KEGG Pathway,24,hsa05032,Morphine addiction,,-4.9,5.6,6.2,27994,92,542,10,1.8,0.58,107|157|2557|2792|3763|4988|5144|9568|10846|200959,ADCY1|GRK3|GABRA4|GNGT1|KCNJ6|OPRM1|PDE4D|GABBR2|PDE10A|GABRR3,-3.8,1
