Category,CategoryID,GO,Description,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0007268,chemical synaptic transmission,-8,2.6,6.7,27994,724,677,45,6.6,0.96,18|29|40|320|773|777|952|1129|1393|1740|1959|1960|2259|2556|2560|2570|2895|2903|3786|3798|5649|6376|8825|9162|9229|9498|9568|9699|10814|10858|22839|23025|23316|26059|55288|57282|57537|66000|79772|84896|85445|93664|149111|152404|285242,ABAT|ABR|ASIC2|APBA1|CACNA1A|CACNA1E|CD38|CHRM2|CRHBP|DLG2|EGR2|EGR3|FGF14|GABRA3|GABRB1|GABRR2|GRID2|GRIN2A|KCNQ3|KIF5A|RELN|CX3CL1|LIN7A|DGKI|DLGAP1|SLC4A8|GABBR2|RIMS2|CPLX2|CYP46A1|DLGAP4|UNC13A|CUX2|ERC2|RHOT1|SLC4A10|SORCS2|TMEM108|MCTP1|ATAD1|CNTNAP4|CADPS2|CNIH3|IGSF11|HTR3E,-6.7,1
GO Biological Processes,19,GO:0006935,chemotaxis,-7.9,2.6,6.7,27994,656,677,42,6.2,0.93,846|1012|1232|1238|1600|1794|1959|1960|2829|3084|3730|3798|4147|5142|5288|5587|5649|6091|6359|6361|6376|6441|6710|7074|7204|7409|8291|8740|8828|9037|9353|9369|9423|9723|10507|11240|30011|57118|57453|57731|64094|245937,CASR|CDH13|CCR3|ACKR2|DAB1|DOCK2|EGR2|EGR3|XCR1|NRG1|ANOS1|KIF5A|MATN2|PDE4B|PIK3C2G|PRKD1|RELN|ROBO1|CCL15|CCL17|CX3CL1|SFTPD|SPTB|TIAM1|TRIO|VAV1|DYSF|TNFSF14|NRP2|SEMA5A|SLIT2|NRXN3|NTN1|SEMA3E|SEMA4D|PADI2|SH3KBP1|CAMK1D|DSCAML1|SPTBN4|SMOC2|DEFB124,-6.6,1
GO Biological Processes,19,GO:0042330,taxis,-7.8,2.6,6.7,27994,658,677,42,6.2,0.93,846|1012|1232|1238|1600|1794|1959|1960|2829|3084|3730|3798|4147|5142|5288|5587|5649|6091|6359|6361|6376|6441|6710|7074|7204|7409|8291|8740|8828|9037|9353|9369|9423|9723|10507|11240|30011|57118|57453|57731|64094|245937,CASR|CDH13|CCR3|ACKR2|DAB1|DOCK2|EGR2|EGR3|XCR1|NRG1|ANOS1|KIF5A|MATN2|PDE4B|PIK3C2G|PRKD1|RELN|ROBO1|CCL15|CCL17|CX3CL1|SFTPD|SPTB|TIAM1|TRIO|VAV1|DYSF|TNFSF14|NRP2|SEMA5A|SLIT2|NRXN3|NTN1|SEMA3E|SEMA4D|PADI2|SH3KBP1|CAMK1D|DSCAML1|SPTBN4|SMOC2|DEFB124,-6.6,1
GO Biological Processes,19,GO:0044057,regulation of system process,-7.5,2.6,6.5,27994,626,677,40,5.9,0.91,18|40|480|486|654|846|952|1129|1193|1393|1959|2258|3784|4842|5142|5592|5649|5733|5972|6261|6263|6331|9229|9699|10242|10345|10699|11076|11280|11343|22839|23316|29119|30820|55799|57731|66000|80333|93589|152404,ABAT|ASIC2|ATP1A4|FXYD2|BMP6|CASR|CD38|CHRM2|CLIC2|CRHBP|EGR2|FGF13|KCNQ1|NOS1|PDE4B|PRKG1|RELN|PTGER3|REN|RYR1|RYR3|SCN5A|DLGAP1|RIMS2|KCNMB2|TRDN|CORIN|TPPP|SCN11A|MGLL|DLGAP4|CUX2|CTNNA3|KCNIP1|CACNA2D3|SPTBN4|TMEM108|KCNIP4|CACNA2D4|IGSF11,-6.3,1
GO Biological Processes,19,GO:0034762,regulation of transmembrane transport,-7.5,2.7,6.6,27994,577,677,38,5.6,0.88,40|486|773|777|1193|1393|1740|2258|2259|2893|2903|3784|3786|3790|4842|5142|5649|6331|6334|6376|8291|10345|11280|23072|27133|30820|55799|57520|57554|79026|80333|90134|93589|146395|149111|219931|378807|387129,ASIC2|FXYD2|CACNA1A|CACNA1E|CLIC2|CRHBP|DLG2|FGF13|FGF14|GRIA4|GRIN2A|KCNQ1|KCNQ3|KCNS3|NOS1|PDE4B|RELN|SCN5A|SCN8A|CX3CL1|DYSF|TRDN|SCN11A|HECW1|KCNH5|KCNIP1|CACNA2D3|HECW2|LRRC7|AHNAK|KCNIP4|KCNH7|CACNA2D4|GSG1L|CNIH3|TPCN2|CATSPER4|NPSR1,-6.3,1
Reactome Gene Sets,6,R-HSA-2672351,Stimuli-sensing channels,-7.2,5.7,7.7,27994,109,677,15,2.2,0.57,40|1193|6261|6263|7223|10110|10345|55129|63982|80036|94015|121601|219931|255231|285335,ASIC2|CLIC2|RYR1|RYR3|TRPC4|SGK2|TRDN|ANO10|ANO3|TRPM3|TTYH2|ANO4|TPCN2|MN2|SLC9C1,-6,1
Reactome Gene Sets,6,R-HSA-983712,Ion channel transport,-6.8,4.2,6.9,27994,186,677,19,2.8,0.63,40|480|486|1193|6261|6263|7223|10110|10345|51761|55129|63982|80036|84239|94015|121601|219931|255231|285335,ASIC2|ATP1A4|FXYD2|CLIC2|RYR1|RYR3|TRPC4|SGK2|TRDN|ATP8A2|ANO10|ANO3|TRPM3|ATP13A4|TTYH2|ANO4|TPCN2|MN2|SLC9C1,-5.7,1
GO Biological Processes,19,GO:1900748,positive regulation of vascular endothelial growth factor signaling pathway,-6.8,30,12,27994,7,677,5,0.74,0.33,6091|9508|57608|64094|147372,ROBO1|ADAMTS3|JCAD|SMOC2|CCBE1,-5.7,1
Reactome Gene Sets,6,R-HSA-112315,Transmission across Chemical Synapses,-6.7,3.5,6.6,27994,270,677,23,3.4,0.7,18|163|320|773|777|1740|2066|2556|2560|2570|2893|2903|3084|6196|7102|8825|9568|22843|26960|55799|80852|83988|285242,ABAT|AP2B1|APBA1|CACNA1A|CACNA1E|DLG2|ERBB4|GABRA3|GABRB1|GABRR2|GRIA4|GRIN2A|NRG1|RPS6KA2|TSPAN7|LIN7A|GABBR2|PPM1E|NBEA|CACNA2D3|GRIP2|NCALD|HTR3E,-5.6,1
GO Biological Processes,19,GO:0048812,neuron projection morphogenesis,-6.3,2.4,5.8,27994,667,677,39,5.8,0.9,577|1501|1600|1959|2258|3730|3798|4147|5649|5789|6091|6710|7074|7204|8828|9037|9201|9353|9369|9423|9699|9723|9856|10507|11141|23025|23072|23316|25806|26047|27023|30011|51761|57453|57520|57731|65078|66000|84570,ADGRB3|CTNND2|DAB1|EGR2|FGF13|ANOS1|KIF5A|MATN2|RELN|PTPRD|ROBO1|SPTB|TIAM1|TRIO|NRP2|SEMA5A|DCLK1|SLIT2|NRXN3|NTN1|RIMS2|SEMA3E|KIAA0319|SEMA4D|IL1RAPL1|UNC13A|HECW1|CUX2|VAX2|CNTNAP2|FOXB1|SH3KBP1|ATP8A2|DSCAML1|HECW2|SPTBN4|RTN4R|TMEM108|25A1,-5.3,1
GO Biological Processes,19,GO:0006814,sodium ion transport,-6.3,3.6,6.4,27994,241,677,21,3.1,0.67,40|480|486|2258|2259|4842|6331|6334|6528|6554|8671|9498|11280|23072|57282|57520|57731|115584|285335|378807|389015,ASIC2|ATP1A4|FXYD2|FGF13|FGF14|NOS1|SCN5A|SCN8A|SLC5A5|SLC10A1|SLC4A4|SLC4A8|SCN11A|HECW1|SLC4A10|HECW2|SPTBN4|SLC5A11|SLC9C1|CATSPER4|SLC9A4,-5.3,1
GO Biological Processes,19,GO:0070588,calcium ion transmembrane transport,-6.2,3.2,6.2,27994,308,677,24,3.5,0.71,773|777|1193|2259|2829|2903|4842|5142|6261|6263|6376|7223|8291|10345|27039|55799|79026|80036|93589|219931|255231|342372|378807|387129,CACNA1A|CACNA1E|CLIC2|FGF14|XCR1|GRIN2A|NOS1|PDE4B|RYR1|RYR3|CX3CL1|TRPC4|DYSF|TRDN|PKD2L2|CACNA2D3|AHNAK|TRPM3|CACNA2D4|TPCN2|MN2|PKD1L3|CATSPER4|NPSR1,-5.2,1
Reactome Gene Sets,6,R-HSA-382551,Transport of small molecules,-6.2,2.3,5.7,27994,728,677,41,6.1,0.92,40|163|480|486|861|1071|1193|4547|5682|6261|6263|6528|7018|7223|7979|8671|9154|9498|10110|10345|11046|11309|23428|28965|51761|55129|55532|57282|63982|80036|84239|94015|115584|121601|143471|169026|204962|219931|255231|285335|389015,ASIC2|AP2B1|ATP1A4|FXYD2|RUNX1|CETP|CLIC2|MTTP|PSMA1|RYR1|RYR3|SLC5A5|TF|TRPC4|SEM1|SLC4A4|SLC28A1|SLC4A8|SGK2|TRDN|SLC35D2|SLCO2B1|SLC7A8|SLC27A6|ATP8A2|ANO10|SLC30A10|SLC4A10|ANO3|TRPM3|ATP13A4|TTYH2|SLC5A11|ANO4|PSMA8|SLC30A8|SLC44A5|TPCN2|MN2|SLC9C1|SLC9A4,-5.2,1
Reactome Gene Sets,6,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,-6.2,3.8,6.4,27994,205,677,19,2.8,0.63,163|320|1740|2066|2556|2560|2570|2893|2903|3084|6196|7102|8825|9568|22843|26960|80852|83988|285242,AP2B1|APBA1|DLG2|ERBB4|GABRA3|GABRB1|GABRR2|GRIA4|GRIN2A|NRG1|RPS6KA2|TSPAN7|LIN7A|GABBR2|PPM1E|NBEA|GRIP2|NCALD|HTR3E,-5.1,1
GO Biological Processes,19,GO:0120039,plasma membrane bounded cell projection morphogenesis,-6.1,2.4,5.7,27994,681,677,39,5.8,0.9,577|1501|1600|1959|2258|3730|3798|4147|5649|5789|6091|6710|7074|7204|8828|9037|9201|9353|9369|9423|9699|9723|9856|10507|11141|23025|23072|23316|25806|26047|27023|30011|51761|57453|57520|57731|65078|66000|84570,ADGRB3|CTNND2|DAB1|EGR2|FGF13|ANOS1|KIF5A|MATN2|RELN|PTPRD|ROBO1|SPTB|TIAM1|TRIO|NRP2|SEMA5A|DCLK1|SLIT2|NRXN3|NTN1|RIMS2|SEMA3E|KIAA0319|SEMA4D|IL1RAPL1|UNC13A|HECW1|CUX2|VAX2|CNTNAP2|FOXB1|SH3KBP1|ATP8A2|DSCAML1|HECW2|SPTBN4|RTN4R|TMEM108|25A1,-5.1,1
GO Biological Processes,19,GO:0035637,multicellular organismal signaling,-6.1,3.8,6.4,27994,207,677,19,2.8,0.63,480|486|3784|4842|6261|6263|6331|6334|10242|10345|10699|11280|26047|29119|30820|55799|57731|80333|93589,ATP1A4|FXYD2|KCNQ1|NOS1|RYR1|RYR3|SCN5A|SCN8A|KCNMB2|TRDN|CORIN|SCN11A|CNTNAP2|CTNNA3|KCNIP1|CACNA2D3|SPTBN4|KCNIP4|CACNA2D4,-5.1,1
GO Biological Processes,19,GO:0006820,anion transport,-6.1,2.4,5.7,27994,656,677,38,5.6,0.88,18|320|634|763|846|1071|1193|2556|2560|2570|3993|4547|5593|6424|6528|6554|7223|8671|9498|11046|11309|23428|28965|51761|55129|57282|63982|94015|121601|133482|152078|153129|283238|285335|387601|387700|387775|389015,ABAT|APBA1|CEACAM1|CA5A|CASR|CETP|CLIC2|GABRA3|GABRB1|GABRR2|LLGL2|MTTP|PRKG2|SFRP4|SLC5A5|SLC10A1|TRPC4|SLC4A4|SLC4A8|SLC35D2|SLCO2B1|SLC7A8|SLC27A6|ATP8A2|ANO10|SLC4A10|ANO3|TTYH2|ANO4|SLCO6A1|SLC66A1L|SLC38A9|SLC22A24|SLC9C1|SLC22A25|SLC16A12|SLC22A10|SLC9A4,-5.1,1
GO Biological Processes,19,GO:0048858,cell projection morphogenesis,-6.1,2.4,5.6,27994,685,677,39,5.8,0.9,577|1501|1600|1959|2258|3730|3798|4147|5649|5789|6091|6710|7074|7204|8828|9037|9201|9353|9369|9423|9699|9723|9856|10507|11141|23025|23072|23316|25806|26047|27023|30011|51761|57453|57520|57731|65078|66000|84570,ADGRB3|CTNND2|DAB1|EGR2|FGF13|ANOS1|KIF5A|MATN2|RELN|PTPRD|ROBO1|SPTB|TIAM1|TRIO|NRP2|SEMA5A|DCLK1|SLIT2|NRXN3|NTN1|RIMS2|SEMA3E|KIAA0319|SEMA4D|IL1RAPL1|UNC13A|HECW1|CUX2|VAX2|CNTNAP2|FOXB1|SH3KBP1|ATP8A2|DSCAML1|HECW2|SPTBN4|RTN4R|TMEM108|25A1,-5,1
Canonical Pathways,11,M5884,NABA CORE MATRISOME,-6,3.3,6.1,27994,275,677,22,3.2,0.68,1286|3730|4052|4147|5649|6695|7399|9353|9423|10319|10418|11082|64094|83716|83872|84467|84570|91522|129080|136227|200403|100131137,4A4|ANOS1|LTBP1|MATN2|RELN|SPOCK1|USH2A|SLIT2|NTN1|LAMC3|SPON1|ESM1|SMOC2|CRISPLD2|HMCN1|FBN3|25A1|23A1|EMID1|26A1|VWA3B|BSPH1,-5,1
GO Biological Processes,19,GO:0051046,regulation of secretion,-5.8,2.3,5.5,27994,753,677,41,6.1,0.92,18|29|320|408|634|654|773|777|846|952|1129|1393|3084|3382|3684|3784|3790|3993|5733|5972|6376|7009|7074|8736|9162|9498|9501|9699|10699|10814|11141|23025|25924|55288|56253|79772|84868|93664|115827|130399|169026,ABAT|ABR|APBA1|ARRB1|CEACAM1|BMP6|CACNA1A|CACNA1E|CASR|CD38|CHRM2|CRHBP|NRG1|ICA1|ITGAM|KCNQ1|KCNS3|LLGL2|PTGER3|REN|CX3CL1|TMBIM6|TIAM1|MYOM1|DGKI|SLC4A8|RPH3AL|RIMS2|CORIN|CPLX2|IL1RAPL1|UNC13A|MYRIP|RHOT1|CRTAM|MCTP1|HAVCR2|CADPS2|RAB3C|ACVR1C|SLC30A8,-4.9,1
GO Biological Processes,19,GO:0010975,regulation of neuron projection development,-5.8,2.6,5.6,27994,517,677,32,4.7,0.82,238|577|952|1600|2258|2895|5587|5649|5789|6091|6376|6695|7074|9037|9353|9423|9699|9723|9856|9863|10507|11141|23025|23072|23316|51761|57118|57520|57554|65078|221074|257194,ALK|ADGRB3|CD38|DAB1|FGF13|GRID2|PRKD1|RELN|PTPRD|ROBO1|CX3CL1|SPOCK1|TIAM1|SEMA5A|SLIT2|NTN1|RIMS2|SEMA3E|KIAA0319|MAGI2|SEMA4D|IL1RAPL1|UNC13A|HECW1|CUX2|ATP8A2|CAMK1D|HECW2|LRRC7|RTN4R|SLC39A12|NEGR1,-4.9,1
GO Biological Processes,19,GO:1904062,regulation of cation transmembrane transport,-5.8,3,5.8,27994,349,677,25,3.7,0.72,486|1193|1393|1740|2258|2259|2893|2903|3784|4842|5142|5649|6331|6376|8291|10345|23072|30820|57520|57554|79026|80333|146395|149111|387129,FXYD2|CLIC2|CRHBP|DLG2|FGF13|FGF14|GRIA4|GRIN2A|KCNQ1|NOS1|PDE4B|RELN|SCN5A|CX3CL1|DYSF|TRDN|HECW1|KCNIP1|HECW2|LRRC7|AHNAK|KCNIP4|GSG1L|CNIH3|NPSR1,-4.8,1
GO Biological Processes,19,GO:1903522,regulation of blood circulation,-5.8,3.1,5.9,27994,304,677,23,3.4,0.7,40|480|486|846|952|1129|1193|2258|3784|4842|5142|6261|6263|6331|10242|10345|10699|29119|30820|55799|57731|80333|93589,ASIC2|ATP1A4|FXYD2|CASR|CD38|CHRM2|CLIC2|FGF13|KCNQ1|NOS1|PDE4B|RYR1|RYR3|SCN5A|KCNMB2|TRDN|CORIN|CTNNA3|KCNIP1|CACNA2D3|SPTBN4|KCNIP4|CACNA2D4,-4.8,1
GO Biological Processes,19,GO:0032990,cell part morphogenesis,-5.8,2.3,5.5,27994,705,677,39,5.8,0.9,577|1501|1600|1959|2258|3730|3798|4147|5649|5789|6091|6710|7074|7204|8828|9037|9201|9353|9369|9423|9699|9723|9856|10507|11141|23025|23072|23316|25806|26047|27023|30011|51761|57453|57520|57731|65078|66000|84570,ADGRB3|CTNND2|DAB1|EGR2|FGF13|ANOS1|KIF5A|MATN2|RELN|PTPRD|ROBO1|SPTB|TIAM1|TRIO|NRP2|SEMA5A|DCLK1|SLIT2|NRXN3|NTN1|RIMS2|SEMA3E|KIAA0319|SEMA4D|IL1RAPL1|UNC13A|HECW1|CUX2|VAX2|CNTNAP2|FOXB1|SH3KBP1|ATP8A2|DSCAML1|HECW2|SPTBN4|RTN4R|TMEM108|25A1,-4.8,1
GO Biological Processes,19,GO:0008015,blood circulation,-5.7,2.5,5.5,27994,548,677,33,4.9,0.83,18|29|40|480|486|634|654|846|952|1129|1193|3784|4842|5142|5592|5972|6261|6263|6296|6331|9353|10242|10345|10699|29119|30820|55799|57731|80333|80852|83988|89797|93589,ABAT|ABR|ASIC2|ATP1A4|FXYD2|CEACAM1|BMP6|CASR|CD38|CHRM2|CLIC2|KCNQ1|NOS1|PDE4B|PRKG1|REN|RYR1|RYR3|ACSM3|SCN5A|SLIT2|KCNMB2|TRDN|CORIN|CTNNA3|KCNIP1|CACNA2D3|SPTBN4|KCNIP4|GRIP2|NCALD|NAV2|CACNA2D4,-4.8,1
GO Biological Processes,19,GO:0048667,cell morphogenesis involved in neuron differentiation,-5.7,2.4,5.5,27994,604,677,35,5.2,0.85,577|1501|1600|1959|2258|3730|3798|4147|5649|5789|6091|6710|7074|7204|8828|9037|9201|9353|9369|9423|9723|9856|10507|11141|23072|23316|25806|27023|30011|51761|57453|57520|57731|65078|84570,ADGRB3|CTNND2|DAB1|EGR2|FGF13|ANOS1|KIF5A|MATN2|RELN|PTPRD|ROBO1|SPTB|TIAM1|TRIO|NRP2|SEMA5A|DCLK1|SLIT2|NRXN3|NTN1|SEMA3E|KIAA0319|SEMA4D|IL1RAPL1|HECW1|CUX2|VAX2|FOXB1|SH3KBP1|ATP8A2|DSCAML1|HECW2|SPTBN4|RTN4R|25A1,-4.7,1
GO Biological Processes,19,GO:0050804,modulation of chemical synaptic transmission,-5.6,2.6,5.6,27994,454,677,29,4.3,0.78,18|29|320|773|952|1129|1959|2259|2895|2903|5649|6376|9162|9229|9498|9699|10814|10858|22839|23025|23316|55288|57282|57537|66000|79772|84896|85445|152404,ABAT|ABR|APBA1|CACNA1A|CD38|CHRM2|EGR2|FGF14|GRID2|GRIN2A|RELN|CX3CL1|DGKI|DLGAP1|SLC4A8|RIMS2|CPLX2|CYP46A1|DLGAP4|UNC13A|CUX2|RHOT1|SLC4A10|SORCS2|TMEM108|MCTP1|ATAD1|CNTNAP4|IGSF11,-4.7,1
GO Biological Processes,19,GO:0099177,regulation of trans-synaptic signaling,-5.6,2.6,5.5,27994,455,677,29,4.3,0.78,18|29|320|773|952|1129|1959|2259|2895|2903|5649|6376|9162|9229|9498|9699|10814|10858|22839|23025|23316|55288|57282|57537|66000|79772|84896|85445|152404,ABAT|ABR|APBA1|CACNA1A|CD38|CHRM2|EGR2|FGF14|GRID2|GRIN2A|RELN|CX3CL1|DGKI|DLGAP1|SLC4A8|RIMS2|CPLX2|CYP46A1|DLGAP4|UNC13A|CUX2|RHOT1|SLC4A10|SORCS2|TMEM108|MCTP1|ATAD1|CNTNAP4|IGSF11,-4.6,1
